date,province,lib,con,ndp,bq,grn,ppc,oth
2018-06-01,Ontario,0.1957,0.405,0.3359,,0.046,,
2019-02-09,PEI,,0.455,,,0.35600000000000004,,
2019-06-01,Alberta,,0.7929999999999999,0.687,,,,
2021-06-01,Newfoundland,,0.506,0.43,,,,
2022-06-01,Ontario,0.2391,0.4083,0.2373999999999999,,0.0596,,
2022-06-01,Quebec,0.2482,0.0146,,,,,0.0016
2023-04-03,PEI,,0.512,,,0.512,,
2024-06-01,British Columbia,,,0.5603,,0.3807999999999999,,
