run_date,riding_id,name,province,incumbent_party,projected_winner,win_prob,rating,projected_margin,lib_proj_vote_share,con_proj_vote_share,ndp_proj_vote_share,bq_proj_vote_share,grn_proj_vote_share,ppc_proj_vote_share,oth_proj_vote_share,lib_win_pct,con_win_pct,ndp_win_pct,bq_win_pct,grn_win_pct,ppc_win_pct,oth_win_pct
2025-04-29,35048,Kitchener Centre/Kitchener-Centre,ON,con,con,0.7055524322476502,Lean Conservative,0.0567440776844402,0.3050511079740111,0.3617951856584513,0.0421644489694133,0.0,0.2795065707636117,0.008962112624834,0.0025205740096785,0.228196865008076,0.7055524322476502,0.0073611891938089,0.0073611891938089,0.0368059459690445,0.0073611891938089,0.0073611891938089
2025-04-30,35048,Kitchener Centre/Kitchener-Centre,ON,con,con,0.7055524322476512,Lean Conservative,0.0567440776844405,0.305051107974011,0.3617951856584515,0.0421644489694133,0.0,0.2795065707636117,0.008962112624834,0.0025205740096785,0.2378230354922818,0.7055524322476512,0.0113249064520134,0.0113249064520134,0.0113249064520134,0.0113249064520134,0.0113249064520134
2025-05-01,35048,Kitchener Centre/Kitchener-Centre,ON,con,con,0.7055524322476509,Lean Conservative,0.0567440776844404,0.305051107974011,0.3617951856584514,0.0421644489694133,0.0,0.2795065707636116,0.008962112624834,0.0025205740096785,0.257641621783311,0.7055524322476509,0.0073611891938088,0.0073611891938088,0.0073611891938088,0.0073611891938088,0.0073611891938088
2025-05-02,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.928550970426537,Likely Green,0.1538286664419108,0.2360198109307006,0.2793244366912867,0.0382481029817819,0.0,0.4331531031331975,0.0102212517883071,0.003033294474726,0.0119081715955785,0.0119081715955785,0.0119081715955785,0.0119081715955785,0.928550970426537,0.0119081715955785,0.0119081715955785
2025-05-03,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.9285509704265368,Likely Green,0.1538286664419106,0.2360198109307005,0.2793244366912869,0.0382481029817819,0.0,0.4331531031331975,0.0102212517883071,0.003033294474726,0.0119081715955785,0.0119081715955785,0.0119081715955785,0.0119081715955785,0.9285509704265368,0.0119081715955785,0.0119081715955785
2025-05-04,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.9285509704265372,Likely Green,0.153828666441911,0.2360198109307006,0.2793244366912866,0.0382481029817819,0.0,0.4331531031331976,0.0102212517883071,0.003033294474726,0.0119081715955785,0.0119081715955785,0.0119081715955785,0.0119081715955785,0.9285509704265372,0.0119081715955785,0.0119081715955785
2025-05-05,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.9285509704265372,Likely Green,0.1538286664419109,0.2360198109307006,0.2793244366912867,0.0382481029817819,0.0,0.4331531031331976,0.0102212517883071,0.003033294474726,0.0119081715955785,0.0119081715955785,0.0119081715955785,0.0119081715955785,0.9285509704265372,0.0119081715955785,0.0119081715955785
2025-05-06,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.928550970426537,Likely Green,0.1538286664419108,0.2360198109307005,0.2793244366912867,0.0382481029817819,0.0,0.4331531031331975,0.0102212517883071,0.003033294474726,0.0119081715955785,0.0119081715955785,0.0119081715955785,0.0119081715955785,0.928550970426537,0.0119081715955785,0.0119081715955785
2025-05-07,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.9285509704265368,Likely Green,0.1538286664419107,0.2360198109307005,0.2793244366912868,0.0382481029817819,0.0,0.4331531031331975,0.0102212517883071,0.003033294474726,0.0119081715955785,0.0119081715955785,0.0119081715955785,0.0119081715955785,0.9285509704265368,0.0119081715955785,0.0119081715955785
2025-05-08,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.9285509704265368,Likely Green,0.1538286664419108,0.2360198109307006,0.2793244366912867,0.0382481029817819,0.0,0.4331531031331975,0.0102212517883071,0.003033294474726,0.0119081715955785,0.0119081715955785,0.0119081715955785,0.0119081715955785,0.9285509704265368,0.0119081715955785,0.0119081715955785
2025-05-09,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.9191304590494132,Likely Green,0.1469159799738233,0.2385503544854666,0.2810345715699659,0.0393231387073341,0.0,0.4279505515437892,0.0110441027538409,0.0020972809396031,0.0134782568250993,0.0134782568250993,0.0134782568250993,0.0134782568250993,0.9191304590494132,0.0134782568250993,0.0134782568250993
2025-05-10,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.9191304590494134,Likely Green,0.1469159799738234,0.2385503544854665,0.2810345715699659,0.0393231387073341,0.0,0.4279505515437893,0.0110441027538409,0.0020972809396031,0.0134782568250993,0.0134782568250993,0.0134782568250993,0.0134782568250993,0.9191304590494134,0.0134782568250993,0.0134782568250993
2025-05-11,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.9191304590494134,Likely Green,0.1469159799738233,0.2385503544854665,0.2810345715699659,0.0393231387073341,0.0,0.4279505515437892,0.0110441027538409,0.0020972809396031,0.0134782568250993,0.0134782568250993,0.0134782568250993,0.0134782568250993,0.9191304590494134,0.0134782568250993,0.0134782568250993
2025-05-12,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.9191304590494134,Likely Green,0.1469159799738233,0.2385503544854665,0.2810345715699659,0.0393231387073341,0.0,0.4279505515437892,0.0110441027538409,0.0020972809396031,0.0134782568250993,0.0134782568250993,0.0134782568250993,0.0134782568250993,0.9191304590494134,0.0134782568250993,0.0134782568250993
2025-05-13,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.9191304590494134,Likely Green,0.1469159799738234,0.2385503544854665,0.281034571569966,0.0393231387073341,0.0,0.4279505515437894,0.0110441027538409,0.0020972809396031,0.0134782568250993,0.0134782568250993,0.0134782568250993,0.0134782568250993,0.9191304590494134,0.0134782568250993,0.0134782568250993
2025-05-14,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.9191304590494136,Likely Green,0.1469159799738234,0.2385503544854666,0.2810345715699658,0.0393231387073341,0.0,0.4279505515437892,0.0110441027538409,0.0020972809396031,0.0134782568250992,0.0134782568250992,0.0134782568250992,0.0134782568250992,0.9191304590494136,0.0134782568250992,0.0134782568250992
2025-05-15,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.9191304590494134,Likely Green,0.1469159799738233,0.2385503544854665,0.2810345715699659,0.0393231387073341,0.0,0.4279505515437892,0.0110441027538409,0.0020972809396031,0.0134782568250993,0.0134782568250993,0.0134782568250993,0.0134782568250993,0.9191304590494134,0.0134782568250993,0.0134782568250993
2025-05-16,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.9784705309927664,Safe Green,0.2124223875228198,0.2185900489250724,0.2591553739337615,0.0378846424857945,0.0,0.4715777614565813,0.0106700282162682,0.002122144982522,0.0035882448345393,0.0035882448345393,0.0035882448345393,0.0035882448345393,0.9784705309927664,0.0035882448345393,0.0035882448345393
2025-05-17,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.9784705309927666,Safe Green,0.2124223875228199,0.2185900489250723,0.2591553739337614,0.0378846424857945,0.0,0.4715777614565814,0.0106700282162681,0.002122144982522,0.0035882448345393,0.0035882448345393,0.0035882448345393,0.0035882448345393,0.9784705309927666,0.0035882448345393,0.0035882448345393
2025-05-18,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.9784705309927666,Safe Green,0.2124223875228201,0.2185900489250724,0.2591553739337614,0.0378846424857945,0.0,0.4715777614565814,0.0106700282162682,0.002122144982522,0.0035882448345393,0.0035882448345393,0.0035882448345393,0.0035882448345393,0.9784705309927666,0.0035882448345393,0.0035882448345393
2025-05-19,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.9784705309927668,Safe Green,0.2124223875228202,0.2185900489250724,0.2591553739337613,0.0378846424857945,0.0,0.4715777614565815,0.0106700282162682,0.002122144982522,0.0035882448345392,0.0035882448345392,0.0035882448345392,0.0035882448345392,0.9784705309927668,0.0035882448345392,0.0035882448345392
2025-05-20,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.9784705309927666,Safe Green,0.2124223875228199,0.2185900489250724,0.2591553739337614,0.0378846424857945,0.0,0.4715777614565814,0.0106700282162682,0.002122144982522,0.0035882448345393,0.0035882448345393,0.0035882448345393,0.0035882448345393,0.9784705309927666,0.0035882448345393,0.0035882448345393
2025-05-21,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.984450619625988,Safe Green,0.2263521547966794,0.2139076293789013,0.2549896401316173,0.0377768233750136,0.0,0.4813417949282967,0.0102864328909181,0.0016976792952529,0.0025915633956689,0.0025915633956689,0.0025915633956689,0.0025915633956689,0.984450619625988,0.0025915633956689,0.0025915633956689
2025-05-22,35048,Kitchener Centre/Kitchener-Centre,ON,con,grn,0.9879071933766872,Safe Green,0.2366797246757679,0.2115432153761461,0.251304540995411,0.0377310571098783,0.0,0.4879842656711789,0.0085635405623283,0.002873380285057,0.0020154677705523,0.0020154677705523,0.0020154677705523,0.0020154677705523,0.9879071933766872,0.0020154677705523,0.0020154677705523
