riding_id,name,province,incumbent_party,projected_winner,win_prob,rating,projected_margin,lib_proj_vote_share,con_proj_vote_share,ndp_proj_vote_share,bq_proj_vote_share,grn_proj_vote_share,ppc_proj_vote_share,oth_proj_vote_share,lib_win_pct,con_win_pct,ndp_win_pct,bq_win_pct,grn_win_pct,ppc_win_pct,oth_win_pct
10001,Avalon,NL,lib,lib,0.9949607730280587,Safe Liberal,0.2701692067838506,0.5910030017714331,0.3208337949875824,0.07452538137689861,0.0,0.0,0.003127014890441083,0.01051080697364491,0.9949607730280587,0.0008398711619903053,0.0008398711619903053,0.0008398711619903053,0.0008398711619903053,0.0008398711619903053,0.0008398711619903053
10002,Cape Spear,NL,lib,lib,0.9999896201371663,Safe Liberal,0.4469237883981761,0.6642662946830487,0.2173425062848725,0.1015904139919762,0.0,0.006089680834793177,0.002899674250741302,0.007811429954568087,0.9999896201371663,1.729977138949894e-06,1.729977138949894e-06,1.729977138949894e-06,1.729977138949894e-06,1.729977138949894e-06,1.729977138949894e-06
10003,Central Newfoundland,NL,con,con,0.5545178042570719,Toss-up,0.01439334090272293,0.4736953237641118,0.4880886646668348,0.03821601156905343,0.0,0.0,0.0,0.0,0.4451243212283532,0.5545178042570719,7.157490291499489e-05,7.157490291499489e-05,7.157490291499489e-05,7.157490291499489e-05,7.157490291499489e-05
10004,Labrador,NL,lib,lib,0.93923908814314,Likely Liberal,0.1625784085604646,0.5201634224715553,0.3575850139110908,0.1166066953650337,0.0,0.0,0.005644868252320339,0.0,0.93923908814314,0.01012681864281115,0.01012681864281115,0.01012681864281115,0.01012681864281115,0.01012681864281115,0.01012681864281115
10005,Long Range Mountains,NL,con,lib,0.5649494646595061,Toss-up,0.01717008842678713,0.4539345222228914,0.4367644337961043,0.06567905753778247,0.0,0.0,0.01366658722445542,0.02995539921876639,0.5649494646595061,0.4346273344306296,8.464018197285873e-05,8.464018197285873e-05,8.464018197285873e-05,8.464018197285873e-05,8.464018197285873e-05
10006,St. John's East/St. John's-Est,NL,lib,lib,0.999858417301427,Safe Liberal,0.3811617591149224,0.5952507089045403,0.2140889497896179,0.1758252252145455,0.0,0.006914694587715907,0.003418301367778598,0.004502120135801699,0.999858417301427,2.359711642883706e-05,2.359711642883706e-05,2.359711642883706e-05,2.359711642883706e-05,2.359711642883706e-05,2.359711642883706e-05
10007,Terra Nova--The Peninsulas/Terra Nova--Les Péninsules,NL,con,lib,0.7831069237216386,Likely Liberal,0.08218382432592958,0.5099934939022769,0.4278096695763473,0.05506543345766435,0.0,0.0,0.007131403063711449,0.0,0.7831069237216386,0.1849970356491915,0.006379208125834191,0.006379208125834191,0.006379208125834191,0.006379208125834191,0.006379208125834191
11001,Cardigan,PE,lib,lib,0.990508588625461,Safe Liberal,0.2463079365769661,0.5625816775698641,0.316273740992898,0.04017617045680121,0.0,0.04295440080964195,0.009232928482595923,0.0287810816881989,0.990508588625461,0.001581901895756683,0.001581901895756683,0.001581901895756683,0.001581901895756683,0.001581901895756683,0.001581901895756683
11002,Charlottetown,PE,lib,lib,0.9995372969629727,Safe Liberal,0.3477772498273884,0.6082062633140991,0.2604290134867107,0.05968378797390934,0.0,0.06532333984089261,0.006357595384388322,0.0,0.9995372969629727,7.711717283789786e-05,7.711717283789786e-05,7.711717283789786e-05,7.711717283789786e-05,7.711717283789786e-05,7.711717283789786e-05
11003,Egmont,PE,lib,lib,0.9317664692676694,Likely Liberal,0.1563478824465295,0.5135388633574013,0.3571909809108718,0.04060478089480082,0.0,0.08014200469828806,0.008523370138638143,0.0,0.9317664692676694,0.0113722551220564,0.0113722551220564,0.0113722551220564,0.0113722551220564,0.0113722551220564,0.0113722551220564
11004,Malpeque,PE,lib,lib,0.9829778915974617,Safe Liberal,0.2225450728354673,0.5306133164382936,0.3080682436028263,0.03033797195028606,0.0,0.12407516072323,0.006905307285364232,0.0,0.9829778915974617,0.002837018067090033,0.002837018067090033,0.002837018067090033,0.002837018067090033,0.002837018067090033,0.002837018067090033
12001,Acadie--Annapolis,NS,con,lib,0.5130255706207856,Toss-up,0.003428772644938516,0.4511679936308989,0.4477392209859604,0.06228839645743466,0.0,0.02492332095151243,0.0138810679741936,0.0,0.5130255706207856,0.4867021332321673,5.445922940944023e-05,5.445922940944023e-05,5.445922940944023e-05,5.445922940944023e-05,5.445922940944023e-05
12002,Cape Breton--Canso--Antigonish,NS,lib,lib,0.9217980651669554,Likely Liberal,0.1488084339413397,0.5279677146679845,0.3791592807266448,0.06996587827097676,0.0,0.002569381465621954,0.01069867848379382,0.009639066384978178,0.9217980651669554,0.01303365580550892,0.01303365580550892,0.01303365580550892,0.01303365580550892,0.01303365580550892,0.01303365580550892
12003,Central Nova/Nova-Centre,NS,lib,lib,0.932181268813529,Likely Liberal,0.156679483671156,0.5216915393517483,0.3650120556805923,0.06746224774024023,0.0,0.02143942001907731,0.01041424320545258,0.01398049400288934,0.932181268813529,0.01130312186441312,0.01130312186441312,0.01130312186441312,0.01130312186441312,0.01130312186441312,0.01130312186441312
12004,Cumberland--Colchester,NS,lib,lib,0.68472083582555,Lean Liberal,0.05049713585925686,0.4694435301582616,0.4189463942990047,0.06211429280572216,0.0,0.03480881026685879,0.01090368689140312,0.003783285578749798,0.68472083582555,0.3126692373187017,0.0005219853711497523,0.0005219853711497523,0.0005219853711497523,0.0005219853711497523,0.0005219853711497523
12005,Dartmouth--Cole Harbour,NS,lib,lib,0.9999984559168644,Safe Liberal,0.4897947026377192,0.6468705641221869,0.1570758614844678,0.1383295648246189,0.0,0.03005299390484764,0.02306487082221936,0.004606144841659466,0.9999984559168644,2.573471892623577e-07,2.573471892623577e-07,2.573471892623577e-07,2.573471892623577e-07,2.573471892623577e-07,2.573471892623577e-07
